content,score,leia_score,leia_incoerente,sentiment
"Péssima experiência de compra. É necessário gastar no mínimo R$100 para concluir uma compra, o que é muito limitante. Além disso, os produtos demoram quase um mês para chegar. A navegação na plataforma também é frustrante, já que você precisa selecionar apenas os itens que eles permitem para finalizar a compra. Estou desinstalando o app e excluindo minha conta, pois não pretendo comprar novamente por essa plataforma. A Shopee, por outro lado, oferece uma navegação muito mais fácil e prática.",1,-0.4404,False,0
"Vocês deveriam parar com a Farmland, além de ser um negócio muito cansativo, é muito mentiroso. Não faz sentido ir até o final de uma determinada maneira e quando você tá quase ganhando o prêmio, te fazem de burro mudando a dificuldade toda hora. É uma coisa muito desagradável, estou perdendo a paciência! Muito deselegante! Só por conta desse defeito estou pensando em parar de usar o app. Isso não deve se fazer!",1,-0.9144,False,0
"Muito ruim. Tem a missão que nunca se consegue alcançar. O app é muito poluída. Agora tem uma coisa, fala da questão de intens grátis para novas pessoas, não tem como retirar nada. E ainda tem jogos horríveis que não dá para alcançar as missões. Se é assim é melhor parar, já que é impossível. Acho que até agora a única que dá pra confiar é shopee e shein que o resto é tudo enganação.",1,-0.836,False,0
"O app tem ofertas atraentes e que chamam muita atenção. O problema é a falta de transparência. Te mandam jogar um jogo para ganhar brindes, supostamente grátis, e fazem diversas exigências diárias, até chegar em 99% é rápido, depois se torna muito cansativo continuar. Além que exigem um valor mínimo de compras de 100 a 260 reais para conseguir pegar esses ""brindes"". Faltou transparência do app nisso.",1,0.2732,False,0
"Sinceramente não imprensa ter o app, os preços não são baratos e a entrega demora tanto que a pessoa até esquece da compra. E se alguém for comprar pra ganhar produtos gratuitos nos jogos pode desistir, no início vai enchendo rápido mais depois vão só dificultando e vc vê enchendo a barra tão devagar que tu desiste rápido. Não vale nem uma estrela !!!",1,-0.7628,False,0
"Fraude e golpe. Sem o mínimo de vergonha na cara. Primeiro, anunciam duas compras gratuitas. Quando finaliza-se os passos para as compras, dizem que é preciso gastar 3x mais o valor que seria isento da compra. Um minuto depois, anunciam um desconto super alto, só que te mandam comprar algo antes para obter o desconto; tendo finalizado a compra, quando ganha, quebram o valor do desconto em várias partes, tornando impossível comprar algo por um preço decente. Enfim, canalhas.",1,0.128,False,0
"Enganação pura. Itens mais caros que nos apps concorrentes. Além disso, prometem itens gratuitos através de jogos dentro do app como forma de cabresto, tem que gastar dentro do app para obter água ou isca para jogar e conseguir ""itens de graça"". Quando está chegando perto de ganhar os itens, o jogo fica mais complicado e não rende nada, além de tirar e reduzir opções que dão água ou isca de forma gratuita. Esse app é pura enganação.",1,-0.7351,False,0
"Muito chato, manda excessivamente mensagens e notificações, spam terrível no email. O aplicativo parece mais um joguinho cheio de anúncios, é irritante as ofertas ""bait"" e os prêmios ""bait"" constantes, tu não consegue navegar e procurar os produtos em paz. Deviam melhorar a experiência de busca, está muito ultrapassada e direcionada demais. Num mesmo dia posso querer comprar um tênis e uma vara de pescar. Mas para briblar o algoritmo e conseguir comprar as duas coisas é terrível.",1,-0.7506,False,0
"Baixei o aplicativo com a expectativa de aproveitar as promoções e cupons de desconto que prometia. No entanto, a experiência foi extremamente decepcionante. Apesar de ser atraente na propaganda, a realidade é outra: para utilizar os tais ""descontos"", é necessário realizar uma compra mínima de R$100. Isso não é mencionado de forma clara, e acaba sendo frustrante descobrir essa exigência depois de todo o processo de cadastro e navegação. Zero transparência!!!",1,-0.865,False,0
"Para compras não é ruim embora o preço seja mais alto que os concorrentes. O problema é querer fazer o cliente de besta. Te mandam escolher brindes. Após, te põe num jogo para fazer uma série de exigências diárias, trazer novos usuários, compras de no mínimo 100 a 260 o tempo todo. O avanço no início é rápido mas quando chega perto os itens vão ficando escassos e valendo menos. Ou você comprarn sei lá 10, 20x o valor do brinde ou não consegue. NÃO GANHA.",1,0.3071,False,0
"um dos piores aplicativos de compras online. Não recomendo. Muitas pessoas conheceram o aplicativo por dar itens de graça, e realmente parece ser verídico, porém ao longo do processo para resgatar esses itens, você é só enrolado, mais e mais. Outro ponto ruim no aplicativo são os itens que são muito caros, e quando é encontrado um item mais barato, é possível comprar apenas a partir de tal preço. Tenho diversos pontos negativos sobre o aplicativo, mas existe limite de linhas a reclamar",1,-0.3716,False,0
"Na verdade, o app oferece item grátis e sim, você realmente os recebe. Porém exige muito tempo e esforço, você basicamente trabalha pro aplicativo, se escraviza. Os itens são caros, os descontos são uma farsa, impostos muito altos, desafios difíceis demais para itens gratuitos, etc. Recebi 4 itens grátis mas demorei muito, não recomendo pra ninguém esse estresse",2,-0.3064,False,1
"O aplicativo de um modo geral e fraco, mas entrega o que promete, fiz uma compra e não recebi ainda, está dentro do prazo, O problema mesmo é referente aos ""prêmios"", principalmente os ligados a jogos, as regras não são divulgadas e os jogos se são possíveis vencer, e uma tarefa tão difícil quanto uma medalha olímpica, entrei em contato com a central para solicitar as regras para entender como vencer, mesmo que fosse difícil. Pasmem, a reposta foi, não temos essa informação, é coisa de sistema.",2,-0.8929,False,1
"Só instalei para ajudar uma pessoa no jogo. O jogo sabota o usuário para não atingir o resultado. Nota: Há uma semana estava em 99,80%, depois de finalmente conseguir completar uma colheita que demorou pacas, ganhei somente R$0,10 e atingi 99,90%, então eu teria que continuar regando menos de 1% a cada 10 g de água o que pode levar meses. O app não é bom. Poluído e com preços manipulados. É uma mistura malfeita da Shoppe, Shein e Aliexpress com algum joguinho caça-níquel que nunca premia.",1,-0.5267,False,0
"A navegação é horrível, toda hora tem um pop-up que te joga pra outra tela com os supostos brindes. Os jogos de tarefas são muito ruins, com animações demoradas que você não consegue pular e uma lógica perversa de regressão da recompensa com aumento da dificuldade, onde o jogo te pede a todo momento que convide pessoas ou compre alguma coisa. Pesquisar nesse app é muito ruim, o aplicativo a todo momento tenta te induzir a ficar navegando em outros produtos. Preços muito acima da média.",1,-0.4939,False,0
"Horrível, além de fazer a gente de bobo. Dizia que quem acessace pelo primeira vez o app, poderia escolher um item grátis , daí voiru dois itens , porém quando você escolhe ,eles inventaram q temos q regar planta até conseguir os 100% . Mas eles ficam reduzindo cada vez mais a porcentagem quando chegamos perto e de 5 em 5 passa a ser 2 em 2 % faz mais de um hoje achei q iria completar um s 100% já q faltavam apenas 0,05% , aí eles reduziram novamente ,agora estou com 99,98% mentirosos",1,-0.875,False,0
"Não se consegue apagar a conta. Cuidado! Não insiram seus dados. Depois de cadastrados, não abre nenhuma aba para que se possa verificar segurança da conta, atualizar ou suprimir nossos dados, nem contato com eles... nada! Só a aba para inserir modos de pagamentos. São bem espertos ! Nada é gratuito! Vc tem que fazer uma compra e receber um desconto banal . Não baixem esse app. A play store deveria ser processada por permitir esse engodo e ainda exibir a msg de ""verificado por play protect"".",1,-0.453,False,0
"No aplicativo tem um joguinho chamado Farmland. Eles prometem te dar prêmios se vc cumprir as missões, porém quanto mais perto do objetivo, menores são as pontuações. É praticamente impossível cumprir o objetivo. Perdi muito tempo para alcançar 99,95% do objetivo. Quando chega aí, praticamente não te entregam mais pontos. É só para enrolar as pessoas. Outra coisa irritante é ter limite mínimo de R$ 100,00 reais para comprar no app. Não recomendo pra ninguém.",1,-0.7579,False,0
"Cópia mal feita da Shopee. Interface poluída. Não deixam você comprar nada por menos de 100 reais, fazendo você ter que comprar vários produtos de uma vez ou comprar um produto mais caro. Os produtos grátis até são verdade, porém você tem que praticamente trabalhar pro aplicativo pra conseguir, não vale a pena. Logo ao entrar pela primeira vez, fui sufocado de cupons, dizendo que eu ganharia 1000 reais se comprasse algo em menos de 10 minutos, mesmo sem nem querer comprar nada. Enfim, exagerado.",1,-0.5267,False,0
"Parece o M Livre. Publicam o mesmo produto com inúmeros preços diferentes. Você precisa ficar pesquisando para não pagar caro. O prazer da compra se torna um tormento. A única vantagem é a diversidade de mercadorias. A entrega não poderia ser pior, é pelos Correios! Se encontro na Shein, esta fica sendo minha opção. Entrega sempre rápida.",2,0.3382,False,1
